metric_name,labels,metric1,metric2,abs(diff),percent_diff,diff
mysql_exporter_collector_duration_seconds,{'collector': 'collect.global_status'},0.035042789,0.01656679,0.018475998999999996,-52.72411108602114,-0.018475998999999996
mysql_exporter_collector_duration_seconds,{'collector': 'collect.global_variables'},0.012426735,0.008705286,0.003721449,-29.947118048304723,-0.003721449
mysql_exporter_collector_duration_seconds,{'collector': 'collect.info_schema.innodb_cmp'},0.036222111,0.033883829,0.002338282000000004,-6.455399576242268,-0.002338282000000004
mysql_exporter_collector_duration_seconds,{'collector': 'collect.info_schema.innodb_cmpmem'},0.000716783,0.036389744,0.035672961,4976.814600792709,0.035672961
mysql_exporter_collector_duration_seconds,{'collector': 'collect.info_schema.innodb_metrics'},0.029275902,0.019594398,0.009681504,-33.06987432872265,-0.009681504
mysql_exporter_collector_duration_seconds,{'collector': 'collect.info_schema.processlist'},0.005295945,0.020396822,0.015100876999999999,285.14036682782773,0.015100876999999999
mysql_exporter_collector_duration_seconds,{'collector': 'collect.info_schema.query_response_time'},0.000416153,0.000285343,0.00013080999999999998,-31.4331507882918,-0.00013080999999999998
mysql_exporter_collector_duration_seconds,{'collector': 'collect.perf_schema.tablelocks'},0.004421199,0.018479906,0.014058707,317.9840355523468,0.014058707
mysql_exporter_collector_duration_seconds,{'collector': 'collect.slave_status'},0.0372493,0.037807619,0.0005583190000000016,1.498871119725744,0.0005583190000000016
mysql_exporter_collector_duration_seconds,{'collector': 'connection'},0.002834053,0.002547278,0.00028677499999999996,-10.118900387536858,-0.00028677499999999996
mysql_global_status_aborted_clients,{},10.0,7.0,3.0,-30.0,-3.0
mysql_global_status_buffer_pool_dirty_pages,{},594.0,583.0,11.0,-1.8518518518518516,-11.0
mysql_global_status_buffer_pool_page_changes_total,{'operation': 'flushed'},2070.0,2181.0,111.0,5.36231884057971,111.0
mysql_global_status_buffer_pool_pages,{'state': 'data'},1556.0,1564.0,8.0,0.5141388174807198,8.0
mysql_global_status_buffer_pool_pages,{'state': 'free'},6622.0,6615.0,7.0,-0.10570824524312897,-7.0
mysql_global_status_buffer_pool_pages,{'state': 'misc'},14.0,13.0,1.0,-7.142857142857142,-1.0
mysql_global_status_bytes_received,{},717664.0,714256.0,3408.0,-0.4748740357604673,-3408.0
mysql_global_status_bytes_sent,{},7442014.0,4213127.0,3228887.0,-43.38727392880475,-3228887.0
mysql_global_status_commands_total,{'command': 'admin_commands'},39.0,11.0,28.0,-71.7948717948718,-28.0
mysql_global_status_commands_total,{'command': 'select'},99.0,94.0,5.0,-5.05050505050505,-5.0
mysql_global_status_commands_total,{'command': 'set_option'},40.0,36.0,4.0,-10.0,-4.0
mysql_global_status_commands_total,{'command': 'show_master_status'},0.0,1.0,1.0,N/A,1.0
mysql_global_status_commands_total,{'command': 'show_variables'},10.0,11.0,1.0,10.0,1.0
mysql_global_status_connections,{},56.0,27.0,29.0,-51.78571428571429,-29.0
mysql_global_status_created_tmp_disk_tables,{},10.0,9.0,1.0,-10.0,-1.0
mysql_global_status_created_tmp_tables,{},69.0,76.0,7.0,10.144927536231885,7.0
mysql_global_status_error_log_latest_write,{},1693129399410819.0,1693129398661897.0,748922.0,-4.4233004297285983e-08,-748922.0
mysql_global_status_handlers_total,{'handler': 'commit'},42658.0,42556.0,102.0,-0.2391110694359792,-102.0
